Time Series,FGL,GSL,WBS,FGL-C,GSL-C,WBS-C,B-FGL-C,B-GSL-C,B-WBS-C
0:00:00,8477000.122,12343740.23,6576662.45,2825689.392,11574752.81,24430000.31,3770508.118,10726663.4,19653555.3
0:01:26,21572680.66,8563709.72,6290641.78,2939654.541,12504350.28,26496856.69,3943614.502,11725752.07,19852185.06
0:02:53,19985618.9,8558581.54,7331584.17,2865666.809,12697407.53,26068490.6,3937832.031,10703400.99,22240727.23
0:04:19,13873370.36,12892744.14,4393333.44,2996333.313,12822692.87,25114639.28,4105362.244,17593348.31,20457778.93
0:05:45,21379042.97,7606763.31,6313333.51,2994667.664,12985385.13,25743341.06,4014666.748,10707030.68,23070152.28
0:11:30,17697403.56,7890549.93,6250001.91,2798944.092,11336669.92,25773349,3985350.952,10960734.37,18321397.4
0:12:58,24217607.42,9078500.37,6290201.57,2850756.836,11111244.2,23516737.37,3422009.277,9494497.68,23926994.32
0:14:24,15386685.79,15487990.72,6236668.78,2928448.486,11821123.5,24694610.6,3629670.105,8983611.3,25265725.71
0:15:51,18031657.72,8094335.94,5410001.75,2905968.628,12002239.23,24860704.04,3606501.77,9210424.23,23936117.55
0:17:17,24359204.1,13553756.1,5236879.73,2962753.601,12556670.38,25534014.89,3706683.044,9083327.1,23180393.98
0:23:01,24497058.11,8943807.37,5346826.93,2628445.129,11017573.55,23813459.78,3343348.999,10835420.99,23437042.24
0:24:27,25760532.23,12057473.14,5566668.32,2698270.569,11354332.73,25669638.06,3488782.959,10718342.78,22940473.94
0:25:54,22958681.64,10019930.42,5793335.34,2767333.374,10900519.56,24363934.33,3462952.881,9537725.45,25750265.5
0:27:20,19729458.01,7795002.44,3583390.81,2917005.92,11580577.09,23637864.69,3584746.704,10440275.19,25851248.17
0:28:46,14651234.13,13783146.97,8598650.36,2896334.229,12600008.39,23763951.11,3817665.405,9703469.09,25476518.25
0:34:33,16029128.42,16412716.06,3463404.85,2925334.167,8083328.25,23653169.25,3526129.456,11996663.28,23886808.78
0:36:00,15269373.78,13603505.86,5294935.99,2717799.072,10072386.93,24209992.98,3758429.565,11475268.94,25133869.93
0:37:26,24339414.06,11304753.42,5258056.26,2943634.949,10744454.19,23040101.62,3804535.217,10659292.79,24786732.48
0:38:52,23879516.6,11661010.74,4266665.27,2923885.193,11610073.09,24856155.4,3499215.698,10702729.61,23174900.82
0:40:18,20792368.16,12252142.33,5747080.61,2730530.701,11154928.59,23263348.39,3363912.048,12016659.16,23538195.8
0:46:03,28696037.6,10516763.92,6203333.28,2721430.054,9440154.27,23713310.24,3359360.352,11869995.88,22243644.71
0:47:31,21862763.67,13622783.2,3946665.57,2703904.724,9210795.59,22910763.55,3252334.29,11929326.63,20964424.13
0:48:57,22099414.06,9499937.74,5306665.04,2677999.878,10833333.59,23501260.38,3424333.191,11704004.29,20797160.34
0:50:24,20674672.85,14398350.83,5285499.19,2756333.313,11480000.31,22275100.71,3315213.318,11760000.23,21390760.8
0:51:50,21658745.12,10300670.17,5790163.8,2723446.655,11337811.28,24006205.75,3172998.962,10933340.26,22486839.29
0:57:35,11678520.51,7517791.75,3560000.99,2781160.583,8657165.53,23326658.63,3257398.376,12053329.28,22210006.71
0:59:01,12531016.85,10606027.83,4874174.88,2563410.339,10183432.01,24781587.22,3200227.356,12386876.68,23406658.94
1:00:27,13750850.83,11221370.85,4336669.54,2574399.414,11707439.42,26810189.82,3407484.436,11143333.24,21791960.14
1:01:53,24289396.97,17086916.5,5893682.86,3011667.48,10591401.67,24623349,3323505.249,11023336.41,21651068.12
1:03:19,23230192.87,24735041.5,7430671.69,2626344.91,11416708.37,24444670.1,3524046.936,11461412.62,20707418.82
1:09:06,15250994.87,16988021.24,4386951.83,2723015.442,9320002.75,23746665.95,3453344.727,12673578.64,20065025.33
1:10:32,14485000,16091075.44,5319998.17,2792336.121,10240692.9,22150532.53,3251512.756,13253342.06,22166659.55
1:11:58,10982091.06,8609738.16,5076937.48,2897449.036,10274011.23,24635255.43,3368334.351,12490000.15,20193972.78
1:13:24,12070072.02,10031100.46,6260002.14,2710256.653,10436380.77,23999984.74,3125372.009,11757215.69,20800921.63
1:14:50,23047836.91,2906850.89,5603849.03,2781334.229,10713797.76,24308531.19,3351921.387,12616654.59,20736680.6
1:20:35,13403116.46,14367713.62,6490000.15,2595667.419,8157675.93,22622381.59,3331830.139,14279565.62,21710136.41
1:22:03,19451137.7,17596895.75,2043627.55,2842469.788,9336666.87,22788322.45,3346941.223,13726671.31,20233555.6
1:23:29,12203670.65,16829661.87,2547357.94,3035296.326,9373836.52,24676995.85,3465531.921,13544462.2,20413919.07
1:24:55,18996791.99,9685482.18,1793426.51,2737168.884,10100474.55,24778338.62,3319041.748,12916666.79,20203569.03
1:26:22,19260045.17,15359333.5,3966793.06,2781999.207,9680196.38,23820303.34,3415711.06,12739999.96,19573339.84
1:32:06,18899357.91,11262652.59,4839998.63,2714141.235,8436100.01,23826333.62,3290779.724,14236798.76,20165397.64
1:33:33,13495666.5,4956256.1,4487456.13,2734349.06,9706666.56,24720227.05,2967772.522,14007409.29,20806666.56
1:34:59,20836950.68,7118757.32,6405212.4,2885567.627,9533816.53,23890493.77,3074435.425,14235957.34,19444590.76
1:36:25,9169119.263,19227357.18,4310338.97,3033586.121,10131526.95,22301412.96,2976825.562,13650199.89,18857490.54
1:37:51,20941687.01,12762734.38,1269999.98,2889666.748,9747274.02,25706643.68,3080334.167,13201680.95,21256736.76
1:43:39,21546506.35,11816772.46,2202904.32,2728424.988,9543333.44,22556645.2,2922445.374,12044221.12,17580000.31
1:45:05,12724362.79,7433049.32,3476928.71,2861023.865,9797163.39,23598806.76,2873399.353,14028747.18,18555177.31
1:46:31,21417045.9,5302006.84,3436665.73,2899333.191,9630003.36,22673500.06,2900365.295,14513329.32,18856980.9
1:47:57,25286628.42,6454793.7,3303556.82,3024042.358,9437364.96,21756652.83,2726666.565,12183979.03,18754228.21
1:49:23,24889982.91,8429997.56,3473333.36,2634665.833,8958365.63,23476681.52,2790002.747,12726666.45,19440246.58
1:55:08,9098508.911,19025333.25,2023545.27,2649252.625,8893336.49,24842930.6,2702800.903,18483339.12,19830595.4
1:56:36,10487753.91,10081144.41,2213333.32,2561924.133,8564980.32,24680888.37,2695295.41,12841592.98,18500073.24
1:58:02,9533031.616,14384410.4,2117390.82,3275421.753,8730002.59,24800900.27,2899155.579,12027127.93,18835775.76
1:59:29,10469013.67,8864227.29,2303332.52,2532539.215,8970963.29,22216088.87,2773356.323,12603913.78,19296679.69
2:00:55,25632197.27,7081512.45,1896666.15,2680093.994,9316516.88,23356681.82,2745737,13294481.47,18553450.01
2:06:40,15608233.64,4059021.61,2030001.26,2231334.076,6597847.75,17766151.43,2718344.116,12373325.54,18762213.13
2:08:06,10708695.07,11426539.31,2127231.22,2319912.567,6650002.29,21377728.27,2719043.579,12174344.54,21677987.67
2:09:33,15744343.26,11298741.46,2210000.61,2302353.973,7003452.3,18431678.77,2540431.519,12539991.95,19004403.69
2:10:59,23561398.93,21126550.29,2019998.74,2454398.804,6906664.28,18200000,2511149.75,12889995.96,20123513.79
2:12:25,18401359.86,11199716.8,2963334.27,2396000.061,6939252.47,18727166.75,2554044.189,12513333.51,19950326.54
